Title,Link,Content,Label,,
TikTok video showing Haaland apologising to Arteta,https://dubawa.org/tiktok-video-showing-haaland-apologising-to-arteta-manipulated/," a tiktok user claims haaland apologised to arteta following a premier league clash on feb. 2, 2025, for a previous derogatory utterance.",0,,
Guardiola’s dressing room outburst linked to documentary,https://dubawa.org/guardiolas-dressing-room-outburst-linked-to-documentary-not-a-recent-match/, a tiktok user shared a video clip showing guardiola allegedly ranting at city’s dressing room after a woeful loss to arsenal.,0,,
"alleged real madrid arsenal clash, other fixures on valentine’s day, ",https://dubawa.org/alleged-real-madrid-arsenal-clash-other-fixures-on-valentines-day-false/," tiktok user claims european clubs- real madrid and arsenal, barcelona and liverpool, man u, and chelsea would clash on feb. 14, 2025.",0,,
Mike Bamiloye used AI-generated image of Elon Musk to push End-of-Days narratives,https://dubawa.org/mike-bamiloye-used-ai-generated-image-of-elon-musk-to-push-end-of-days-narratives/," popular nigerian gospel actor mike bamiloye shared photos of a robot with the face of tesla inc.’s chief executive officer, elon musk. he claimed that the development heralds the arrival of the beast, a mythical figure in the bible.",0,,
Liberians in U.S. remit more than National Budget by 2023,https://dubawa.org/did-liberians-in-u-s-remit-more-than-national-budget-by-2023/,"  according to embattled house speaker fonati koffa, liberians in the u.s. remitted approximately $800 million in 2023, an amount higher than the national budget.",0,,
panama has agreed to stop charging u.s. vessels using panama canal,https://dubawa.org/misleading-panama-has-not-agreed-to-stop-charging-u-s-vessels-using-panama-canal/, the u.s. department of state has alleged that the government of panama has agreed to no longer charge fees for u.s. government vessels to transit at the panama canal.,0,,
Sierra Leone’s Electoral Commission disclaims fake recruitment notice,https://dubawa.org/sierra-leones-electoral-commission-disclaims-fake-recruitment-notice/," an ec-sl link circulating on social media, particularly whatsapp, claims that the electoral commission sierra leone (ecsl) has opened an application portal to recruit new workers for different positions. ",0,,
liberia did  pay $9m annually for power supply,https://dubawa.org/misleading-liberia-did-not-pay-9m-annually-for-power-supply/," “every year, we give the ivorian government $9m to supply us power,” byron byron writes on his official facebook page.",0,,
"facebook claim trump orders sale of african leaders’ properties, children’s deportation, ",https://dubawa.org/facebook-claim-trump-orders-sale-of-african-leaders-properties-childrens-deportation-false/, a facebook post claims that president donald trump of the united states of america has ordered the sale of assets of african politicians in the united states.,0,,
serena williams is dead,https://dubawa.org/false-serena-williams-is-not-dead/, a facebook page claims that tennis star serena williams died in a car accident.,0,,
clove soaked in hot water treat female infertility,https://dubawa.org/does-clove-soaked-in-hot-water-treat-female-infertility/, several facebook posts claimed that cloves soaked in hot water could put an end to female infertility and other hormonal issues.,0,,
Image of Peter Obi’s barrack gate,https://dubawa.org/image-of-peter-obis-barrack-gate-manipulated/, x user shared a picture of a barrack named after peter obi in abuja. ,0,,
Statistics Sierra Leone disclaims fake recruitment notice,https://dubawa.org/statistics-sierra-leone-disclaims-fake-recruitment-notice/," a statistics link circulating on social media, particularly whatsapp, claims that statistics sierra leone (stats sl) is recruiting qualified personnel for various positions to support data collection, enumeration, and statistical analysis.  ",0,,
English no longer language of instruction in Northern schools,https://dubawa.org/is-english-no-longer-language-of-instruction-in-northern-schools/, a verified facebook user posted a narrative that northern governors have rejected english as the language of instruction in schools in northern nigeria.,0,,
old footage misconsd as recent ritual killing hideout in ibadan,https://dubawa.org/old-footage-misconstrued-as-recent-ritual-killing-hideout-in-ibadan/," a facebook user shared a clip alleging that a recent kidnapping hideout was discovered in ibadan, oyo state, where dismembered human body parts were found.",1,,
"FBI find cash, gold worth billions of dollars in Buhari’s New York residence",https://dubawa.org/did-fbi-find-cash-gold-worth-billions-of-dollars-in-buharis-new-york-residence/," social media users here, here, and here alleged that the federal bureau of investigation (fbi) discovered $5 billion in cash and $700 million in gold at former nigerian president muhammadu buhari’s new york residence. they also claim that u.s. president donald trump ordered a crackdown on nigerian politicians.",0,,
nigeria’s withdrawal from us stock market,https://dubawa.org/nigerias-withdrawal-from-us-stock-market-is-false/, machie johnbosce on facebook asserts that president tinubu has pulled nigeria from united states stocks and blocked the sale of oil to the united states. ,0,,
Trump sign executive order banning visas for Nigerians,https://dubawa.org/did-trump-sign-executive-order-banning-visas-for-nigerians/," social media users claimed that the united states president, donald trump, has signed an executive order to stop granting visas to nigerians seeking to enter the country.",0,,
President Boakai reinstate suspended NEC Boss,https://dubawa.org/president-boakai-did-not-reinstate-suspended-nec-boss/, president boakai reinstated nec boss davidetta brown lansanah after a high-profile meeting with top unity party executive members.,0,,
"x user’s claim tems is from ghana,",https://dubawa.org/x-users-claim-tems-is-from-ghana-false/, x user @benopaonyx1 asserts that popular singer tems is from ghana. ,0,,
Video showing man driving vehicle without steering wheel,https://dubawa.org/video-showing-man-driving-vehicle-without-steering-wheel-not-in-nigeria/," an x user claims a vehicle without a complete steering wheel plying the road is linked to nigeria’s popular commercial city, lagos.",0,,
TikTok video showing Haaland’s regret on Man City’s extension deal,https://dubawa.org/tiktok-video-showing-haalands-regret-on-man-citys-extension-deal-digitally-altered/," a tiktok user claims man city’s forward, haaland, regrets signing a new extension deal with the club.",0,,
"claim davido wins 67th grammy, ",https://dubawa.org/claim-davido-wins-67th-grammy-false/, facebook users claim davido was among the 67th annual grammy awards winners.,0,,
Claim on the number of people living with HIV in Nigeria,https://dubawa.org/round-up-top-four-claims-we-verified-this-week/,"Nigerian Doctor and influencer Chinonso Egemba, popularly known as Aproko Doctor, claimed Nigeria has the second-highest number of people living with HIV, and we depend on donations.",0,,
Video showing people scampering for food in Nigeria,https://dubawa.org/round-up-top-four-claims-we-verified-this-week/,"In the attached video, men and women could be seen being chased with a belt by a police officer after they excitedly rushed to a pickup vehicle carrying some food.",0,,
cyberbullying: facebook user attacks another with  ‘rip’ claim,https://dubawa.org/cyberbullying-facebook-user-attacks-another-with-false-rip-claim/, a facebook user alleged that a lady has been used for ritual killing by her “yahoo boyfriend.”,0,,
"! no consistent decline in prices of rice, petroleum in boakai’s administration",https://dubawa.org/false-no-consistent-decline-in-prices-of-rice-petroleum-in-boakais-administration/, liberian president joseph boakai alleges that the price of rice and petroleum products has consistently declined within the first two months of his administration.,0,,
"viral video alleging kenya pulled out of who, ",https://dubawa.org/viral-video-alleging-kenya-pulled-out-of-who-misleading/, social media users share a video claiming kenya has withdrawn from the who.,0,,
Yoruba Muslims forbidden to lead prayers in Northern Nigeria,https://dubawa.org/are-yoruba-muslims-forbidden-to-lead-prayers-in-northern-nigeria/, an x user claimed yoruba muslims are forbidden to lead prayers in northern nigeria. ,0,,
"facebook user’ claim peter obi received invitation to trump’s inauguration, ",https://dubawa.org/facebook-user-claim-peter-obi-received-invitation-to-trumps-inauguration-false/, a facebook user claimed that peter obi had been invited to donald trump’s inauguration ceremony.,0,,
Nnamdi Kanu escapes DSS detention,https://dubawa.org/no-evidence-nnamdi-kanu-escapes-dss-detention/, a facebook post claims biafra leader nnamdi kanu has escaped the dss detention centre.,0,,
Does Nigeria have the second-highest people living with HIV?,https://dubawa.org/does-nigeria-have-the-second-highest-people-living-with-hiv/, nigeria has the second-highest number of people living with hiv.,0,,
Video showing people scampering for food unrelated to Nigeria,https://dubawa.org/video-showing-people-scampering-for-food-unrelated-to-nigeria/, an instagram user posted a now-deleted video allegedly showing nigerians scampering around for food off a pickup vehicle.,0,,
200 children rescued in port harcourt,https://dubawa.org/misleading-16-not-200-children-rescued-in-port-harcourt/," a facebook user claims that over 200 missing children were found in a compound located in the ozuoba area of port harcourt, rivers state.  ",0,,
liberia has gotten mcc compact 2,https://dubawa.org/misleading-liberia-has-not-gotten-mcc-compact-2/, liberia’s information minister claimed the country has “gotten mcc compact two.”,0,,
senate protem lawrence’s vehicle cost $100k,https://dubawa.org/misleading-senate-protem-lawrences-vehicle-doesnt-cost-100k/," togar alexander bealded, a controversial liberian social media user, alleged on facebook that the pro tempore of the liberian senate nyonblee karnga-lwarence has imported a 2025 hyundai staria at over $100k.  ",0,,
Liberia’s current exchange rate lower than it was in January 2024,https://dubawa.org/is-liberias-current-exchange-rate-lower-than-it-was-in-january-2024/, liberia’s presidential press secretary asserted that the exchange rate is lower than what was inherited.,0,,
 to suggest there are no countries with birthright citizenship,https://dubawa.org/false-to-suggest-there-are-no-countries-with-birthright-citizenship/," “no country in the world has birthright citizenship,” an instagram user asserts.",0,,
wife of former deputy senate president beatrice ekweremadu out of prison,https://dubawa.org/true-wife-of-former-deputy-senate-president-beatrice-ekweremadu-out-of-prison/," facebook user claims beatrice ekweremadu, wife of former deputy senate president ike ekweremadu, has been released and is back in nigeria. ",1,,
EPA denies Facebook Health Alert on air pollution,https://dubawa.org/epa-denies-facebook-health-alert-on-air-pollution/," a facebook user, ivan jaw, has alleged on  facebook that the environmental protection agency (epa) of sierra leone issued a notice warning that the current weather is not west african harmattan but an extreme form of air pollution dangerous to human health.",0,,
Viral video of robot airlifting ready-made house for delivery,https://dubawa.org/viral-video-of-robot-airlifting-ready-made-house-for-delivery-manipulated/," a facebook user, edwuadotv, posted a video of a robot flying a completed building to a site and claimed that it is the latest innovation in infrastructure from chinese engineers.",0,,
"Cocaine Scandal hits Sierra Leone Embassy in Guinea, but Envoy not under house arrest",https://dubawa.org/cocaine-scandal-hits-sierra-leone-embassy-in-guinea-but-envoy-not-under-house-arrest/," the gleaner newspaper has alleged on facebook that sierra leone’s ambassador to guinea is under house arrest following the arrest of his driver found with over 380 kilograms of cocaine and $100,000 in the ambassador’s vehicle. ",0,,
"there are 3.7 million illegal Nigerian immigrants in the US, as alleged",https://dubawa.org/are-there-3-7-million-illegal-nigerian-immigrants-in-the-us-as-alleged/, an x user alleged that there are up to 3.7 million unauthorised immigrants of nigerian origin living in the united states.,0,,
government’s arrest agenda doesn’t confirm $5.88bn debt in 2029,https://dubawa.org/misleading-governments-arrest-agenda-doesnt-confirm-5-88bn-debt-in-2029/," the former representative, acarous moses gray, has alleged on his official facebook page that the government will likely leave behind a debt of $5.88bn in 2029 under its arrest agenda.",0,,
President Trump swear on the Bible,https://dubawa.org/did-president-trump-swear-on-the-bible-or-not/, an x user claims that trump did not put his hand on the bible during his swearing-in.,1,,
Fabricated Vanguard website trends with fake Kadaria Ahmed’s interview,https://dubawa.org/fabricated-vanguard-website-trends-with-fake-kadaria-ahmeds-interview/," a sponsored advert from an instagram account claimed that the central bank of nigeria has sued kadaria ahmed, founder of daria media, over an alleged interview with news central tv.",0,,
trump signed an executive order to withdraw us from WHO,https://dubawa.org/true-trump-signed-an-executive-order-to-withdraw-us-from-who/, an x user claims that trump has signed an executive order to withdraw the us from the who.,1,,
Viral video not from recent tanker explosion in Niger state,https://dubawa.org/viral-video-not-from-recent-tanker-explosion-in-niger-state/, social media users recently shared a video claiming it was from the scene of the fire incident in niger state.,0,,
"alleged arrest of kaduna deputy commissioner of police, ",https://dubawa.org/alleged-arrest-of-kaduna-deputy-commissioner-of-police-misleading/, a facebook user claimed that the kaduna state deputy commissioner of police was arrested for distributing arms and ammunition to kidnappers and bandits.,0,,
"alleged footage of liverpool fans clearing anfield, ",https://dubawa.org/alleged-footage-of-liverpool-fans-clearing-anfield-misleading/," an x user, via a video, claimed that liverpool fans were allegedly clearing a snow-filled anfield football pitch amidst a match.",0,,
"video of man playing golf with fire used to depict how la fire started, ",https://dubawa.org/video-of-man-playing-golf-with-fire-used-to-depict-how-la-fire-started-false/, threads user @thetabama shares a video on how a man accidentally started the los angeles fire. ,0,,
Image used to depict Los Angeles fire destruction,https://dubawa.org/image-used-to-depict-los-angeles-fire-destruction-unrelated/, social media users claimed that a viral image showing a red-roofed house standing untouched amidst burnt properties survived because it was a former islamic school. ,0,,
washing face with early morning urine right treatment for Apollo,https://dubawa.org/is-washing-face-with-early-morning-urine-right-treatment-for-apollo/, a facebook user claimed that using early morning urine to wash the face cures conjunctivitis (apollo).,0,,
"EFCC find money, drugs in El-Rufai’s son’s home, as claimed by Facebook user",https://dubawa.org/did-efcc-find-money-drugs-in-el-rufais-sons-home-as-claimed-by-facebook-user/, a facebook user claimed efcc discovered money and drugs in el-rufai’s son’s kaduna residence.,0,,
Old AP video used to support claim on French army’s presence in Nigeria amidst Tchiani’s allegation,https://dubawa.org/old-ap-video-used-to-support-claim-on-french-armys-presence-in-nigeria-amidst-tchianis-allegation/," a facebook user shared a video claiming that the french army had arrived in nigeria, following an alliance between both countries to destabilise its military-led west african neighbour, niger republic.",0,,
"facebook claim suggesting sylvester stallone is dead, ",https://dubawa.org/facebook-claim-suggesting-sylvester-stallone-is-dead-false/, a facebook post claimed that hollywood actor sylvester stallone is dead.,0,,
"president boakai did  win with less than 18,000 votes",https://dubawa.org/false-president-boakai-did-not-win-with-less-than-18000-votes/," the youth league chair of the former ruling cdc has alleged that “president boakia won with less than 18,000 votes.” ",0,,
"Telegram have only 30 employees, as claimed by X user",https://dubawa.org/does-telegram-have-only-30-employees-as-claimed-by-x-user/, an x user claims telegram has only 30 employees.,1,,
representative koon was invited by ghana’s speaker of parliament for inauguration,https://dubawa.org/true-representative-koon-was-invited-by-ghanas-speaker-of-parliament-for-inauguration/," okfm 99.5, a local radio station in liberia has said ghana’s speaker officially invited representative richard koon for the inauguration of ghana’s president. koon is one of the two personalities holding himself out as the legitimate speaker of the liberian parliament.",1,,
"How community notes, Meta’s replacement for fact-checkers, work",https://dubawa.org/how-community-notes-metas-replacement-for-fact-checkers-work/,"on tuesday, jan 7, 2025, meta’s ceo, mark zuckerberg, announced the company’s decision to terminate its third-party fact-checking programme, starting in the united states. before this discontinuation, meta had been using the services of independent fact-checking organisations to moderate content on facebook, instagram, and threads.",1,,
Meta’s discontinuation of third-party fact-checking programme blow to democracy—Dapo Olorunyomi,https://dubawa.org/metas-discontinuation-of-third-party-fact-checking-programme-blow-to-democracy-dapo-olorunyomi/,"dapo olorunyomi, the publisher of premium times, has criticised meta’s decision to discontinue its third-party fact-checking programme in favour of a community-driven model, among other content moderation strategy modifications to be implemented. Mark Zuckerberg, the chief executive officer of Meta Platforms Inc., Facebook and Instagram’s parent company, announced the recent development on Monday, Jan. 7, 2025, stating that it was the company’s response to growing criticism of political bias against conservative parties in fact-checking processes conducted by media organisations in the United States. ",1,,
Facebook video showing Haaland apologising to Arteta,https://dubawa.org/facebook-video-showing-haaland-apologising-to-arteta-manipulated/, a facebook page shared a video suggesting haaland issued an open apology to arteta.,0,,
Verifying Tinubu’s claims on Nigeria’s economic progress in New Year address,https://dubawa.org/verifying-tinubus-claims-on-nigerias-economic-progress-in-new-year-address/,"since bola tinubu, nigeria’s president, addressed the nation in his january 2025 new year speech, citizens have battled frightening inflation rates. according to the national bureau of statistics (nbs), goods inflation surged from 29.9% at the month’s end to a 30-year high of 34.6%. Amidst the economic crises, workers at federal government establishments are yet to begin earning the N70,000 minimum wage, despite its approval and implementation since July 2024, when it rose by 133% from the previous amount. ",1,,
IFCN Director reacts to Meta’s discontinuation of third-party fact-checking in the US,https://dubawa.org/ifcn-director-reacts-to-metas-discontinuation-of-third-party-fact-checking-in-the-us/,"the director of the international fact-checking network (ifcn), angie holan,  has reacted to meta’s decision to halt its fact-checking collaboration programme. Prior to the discontinuation of the partnership, which sparked criticism in the media, fact-checking organisations were funded by Meta to play a third-party role in verifying media content shared across its social media platforms. The initiative made it easy for Meta to flag disinformation, misinformation and fake news content. ",1,,
IFCN third-party fact-checking programme threatened as Meta replaces fact-checkers with community notes,https://dubawa.org/ifcn-third-party-fact-checking-programme-threatened-as-meta-replaces-fact-checkers-with-community-notes/,"meta, the parent company of facebook and instagram, has announced plans to terminate its third-party fact-checking programme. this is a radical departure from the traditional content moderation strategy that began in 2016. The announcement, made by Mark Zuckerberg, the company’s chief executive officer, via his verified Facebook page on Jan. 7, 2025, was among other policies to be implemented amidst what Meta termed as efforts to restore free expression and minimise errors within the platform’s content policies.",1,,
"x user’s claim h-1b visa slots capped at 750,000 per year, ",https://dubawa.org/x-users-claim-h-1b-visa-slots-capped-at-750000-per-year-false/," an x user asserted that the approval rate for the h-1b programme, a united states visa, is 750,000 yearly.",0,,
8 times political candidates were linked to  statements during recent elections,https://dubawa.org/8-times-political-candidates-were-linked-to-false-statements-during-recent-elections/,"in 2024, edo and ondo state witnessed off-cycle elections in september and november, respectively. amid the election build-up, several claims linked to candidates vying for the top political seats in each state arose. this necessitated the nigerian fact checkers coalition (nfc) to verify.",0,,
Six old visuals recycled with new narratives in 2024,https://dubawa.org/six-old-visuals-recycled-with-new-narratives-in-2024/,"as 2024 draws to a close, misinformation shows no signs of slowing down. the year witnessed a surge in new claims that have turned out to be false, alongside old narratives resurfacing with a fresh twist, only to emerge as misleading or inaccurate. dubawa has debunked numerous instances of this phenomenon, and in this article, we highlight six notable examples for you. ",0,,
DUBAWA’s Copy Editor nominated for Global Journalism Award,https://dubawa.org/dubawas-copy-editor-nominated-for-global-journalism-award/,"simbiat bakare, dubawa’s copy editor, has been shortlisted for the global journalism award—2025 true story award. she earned this nomination for her investigation into odalo, a nigerian twitter scammer. iriodalo is a love scammer who faked health conditions to swindle women out of their hard-earned money.",1,,
TikTok video of Haaland’s planned transfer to Liverpool,https://dubawa.org/tiktok-video-of-haalands-planned-transfer-to-liverpool-ai-generated/, tiktok user claims haaland intends to leave man city for liverpool,0,,
"facebook user’s claims on abia airport, ",https://dubawa.org/facebook-users-claims-on-abia-airport-misleading/," on dec. 18, 2024, a facebook page called aba blog posted an image claiming it was the new abia state airport. ",0,,
Facebook image of MC Oluomo with Peter Obi,https://dubawa.org/facebook-image-of-mc-oluomo-with-peter-obi-manipulated/, a facebook user shared a picture of peter obi and mc oluomo and alleged it was taken when the former paid homage to the latter.  ,0,,
seven times nigerian government officials were ly linked to public statements in 2024,https://dubawa.org/seven-times-nigerian-government-officials-were-falsely-linked-to-public-statements-in-2024/,"to coordinate a different narrative and earn engagements online, social media users exploit certain political and socio-economic situations in the country to manage such agendas. moreover, they use material records of political stakeholders and state actors to earn the unsuspecting public’s trust, creating an online information disorder. ",0,,
"X images featuring Tinubu, Peter Obi",https://dubawa.org/x-images-featuring-tinubu-peter-obi-digitally-altered/," an x user shared an image showing president tinubu and peter obi shaking hands, suggesting a partnership.",0,,
"allegations about amos tweh purchasing lexus 2024 model, ",https://dubawa.org/allegations-about-amos-tweh-purchasing-lexus-2024-model-false/," “congratulations to my brother and friend, the managing director of lprc, amos tweh, for the purchase of a new car,” said isaac doe, former deputy youth and sports minister.",0,,
No scientific evidence to prove linkage between infertility and virginity,https://dubawa.org/no-scientific-evidence-to-prove-linkage-between-infertility-and-virginity/, comedian bovi asserts that being a virgin for too long hurts fertility.,0,,
hot water and lemon cure cancer,https://dubawa.org/can-hot-water-and-lemon-cure-cancer-as-claimed/, tiktok user @japhethcomedy shared a video claiming that cancer is no longer deadly and that the remedy lies in drinking hot water mixed with lemon.,0,,
police are planning social media surveillance on nigerians,https://dubawa.org/false-police-not-planning-social-media-surveillance-on-nigerians/," a whatsapp audio allegedly features the enugu state commissioner of police, kanayo uzuegbu, announcing that security agencies will monitor the whatsapp chats and calls of nigerians.",0,,
liberia electricity corporation has increased its electricity bill by 76%,https://dubawa.org/misleading-liberia-electricity-corporation-has-not-increased-its-electricity-bill-by-76/," “lec has increased the bill of the liberian people by 76%,” the former deputy executive director of the environmental protection agency (epa) claimed.",0,,
100 people die in Anambra stampede,https://dubawa.org/did-100-people-die-in-anambra-stampede/, facebook user claims over 100 people died in anambra state’s stampede.,0,,
