Title,Link,Content,Label
True! Nigeria has fastest train in Africa,https://dubawa.org/true-nigeria-has-fastest-train-in-africa/,Claim: A Facebook user recently claimed Nigeria has the fastest train in Africa.,"Verdict: True! Lagos Red Line Mass Transit rail system boasts trains with a speed limit of 330km/h, which is the fastest in Africa."
"TikTok video showing Slot berating referee after Everton’s late equaliser, manipulated",https://dubawa.org/tiktok-video-showing-slot-berating-referee-after-evertons-late-equaliser-manipulated/,"Claim: A TikTok user shared a video clip spotlighting Liverpool boss Arne Slot, slamming umpire Michael Oliver after the Merseyside derby.","Verdict: False. The TikTok video clip is a digitally altered version of an Australian-owned sports channel, Optus Sports, interview with Slot, in which he expressed pleasure in his side’s triumph over Ipswich Town. "
False! Boakai did not steal the election,https://dubawa.org/false-boakai-did-not-steal-the-election/,"Claim: “Mr Boakai stole the election and now sits as Head of State,” Foday N. Massaquoi, Chairperson of the CDC Council of Patriots, alleged.",Verdict: False: The claimant could not provide evidence supporting his allegation. Multiple independent reports have confirmed that the elections were free and fair. Incumbent President George Weah conceded defeat before the National Elections Commission (NEC) officially announced the results.
"False! Trump didn’t order release of Liberia’s Ex-President, Charles Taylor",https://dubawa.org/false-trump-didnt-order-release-of-liberias-ex-president-charles-taylor/,"Claim: A Facebook user, Junior Duo, posted in Fries FM (a private group)  alleging the US President has ordered the release of Liberia’s former President Charles Taylor from prison. ",Verdict: False! DUBAWA’s research on all executive orders by President Trump since his ascendancy shows there was no such order to release Taylor. 
False! More than two LTA Commissioners declared their assets,https://dubawa.org/false-more-than-two-lta-commissioners-declared-their-assets/,Claim: A Facebook user has alleged that only two commissioners at the Liberia Telecommunication Authority (LTA) declared their assets.,"Verdict: False! A DUBAWA investigation has revealed that more than two commissioners of the LTA have declared their assets. According to the Liberia Anti-Corruption Commission’s (LACC) non-compliance list, only 1 of the 5 commissioners of the LTA has not declared his assets."
Da gaske ne Trump ya umurci sayar da kaddarorin shugabannin Afrika da tasa keyar ‘ya’yansu kamar yadda wani ke da’awa a Facebook?,https://dubawa.org/da-gaske-ne-trump-ya-umurci-sayar-da-kaddarorin-shugabannin-afrika-da-tasa-keyar-yayansu-kamar-yadda-wani-ke-daawa-a-facebook/,Da’awa: Wani labari a Facebook na da’awar wai shugaba Donald Trump na Amurka ba bayar da umurnin sayar da kadarorin ‘yan siyasar Najeriya da ke kasarsa.,Hukunci: Karya ce. Babu labarai masu nagarta dangane da wannan da’awar. Hakazalika ba mu ga wani bayani makamancin haka a shafin fadar White House ba bare shafin shugaba Trump na X inda ya saba wallafa bayanansa masu mahimmanci.
Did Aliko Dangote declare support for Peter Obi ahead 2027 presidential election?,https://dubawa.org/did-aliko-dangote-declare-support-for-peter-obi-ahead-2027-presidential-election/,"Claim: A Facebook page, ‘dailyexcessive,’ has claimed that Nigerian entrepreneur Aliko Dangote declared his full support for Peter Obi before the 2027 presidential election. ",Verdict: The claim is false. DUBAWA’s findings reveal that the page is used to spread misleading content.
2021 video recycled to amplify recent security threat in Southeast,https://dubawa.org/2021-video-recycled-to-amplify-recent-security-threat-in-southeast/,Claim: An X user via video claims that Nigerian army personnel have invaded and attacked unarmed citizens in Southeast Nigeria.,"Verdict: Misleading! The video clip is not recent, as it has been online since 2021. Also, reports on the incident from 2021 revealed the Nigerian Army denied the person opening fire on community members in Enugu State. "
Will not brushing your teeth at night increase cardiovascular disease risk?,https://dubawa.org/will-not-brushing-your-teeth-at-night-increase-cardiovascular-disease-risk/,Claim: An Instagram user claims a new study confirms that not brushing at night increases the risk of cardiovascular diseases. ,"Verdict: True. Different studies have linked periodontal diseases, which are mainly caused by poor brushing habits, to cardiovascular diseases."
Facebook post falsely shows Sultan of Sokoto wearing charm garment,https://dubawa.org/facebook-post-falsely-shows-sultan-of-sokoto-wearing-charm-garment/,Claim: A Facebook post shows the Sultan of Sokoto wearing a charm garment.,Verdict: False. DUBAWA’s findings showed that the image was manipulated to paint this narrative. We discovered that two different and unrelated images were merged to achieve this result.  
Alleged video of rotten naira notes rehashed from 2022,https://dubawa.org/alleged-video-of-rotten-naira-notes-rehashed-from-2022/,"Claim: An X user, @Sebastineogb, shared a video claiming the Economic and Financial Crimes Commission (EFCC) discovered stacks of spoilt naira notes in a container in Abuja.",Verdict: Misleading! The recirculated video was a 2022 clip showing condemned bank notes found in Wadata Police Barracks in Benue State.
"Round up: Liberia’s HIV rate, US deportation among top claims fact-checked this week",https://dubawa.org/round-up-liberias-hiv-rate-us-deportation-among-top-claims-fact-checked-this-week/,The continuous spread of falsehood across social media and other platforms shows verification and media and information literacy are more critical now than ever. ,Here’s a breakdown of the claims diligently scrutinised and fact-checked by DUBAWA in the last week.
Misleading! Liberia has low HIV rate among African countries,https://dubawa.org/misleading-liberia-has-low-hiv-rate-among-african-countries/,"Claim: The Minister of Health, Dr Louise Kpoto, in an appearance before the Plenary of the House of Representatives, claimed that Liberia has the lowest rate of HIV/AIDS  among African  Countries. ","Verdict: Misleading! Findings from UNAIDS reveal that Liberia has a relatively low  HIV/AIDS rate of 0.9%, but it isn’t the lowest among African Countries. Algeria and Egypt have 0.1% of HIV/AIDS  rates. "
False! Plastics do not make up 20% of Liberia’s waste composition,https://dubawa.org/false-plastics-do-not-make-up-20-of-liberias-waste-composition/,"Claim: “Plastic makes about 20% of our waste,” Monrovia City Corporation’s head claims.",Verdict: False! The most recent data from the World Bank shows that plastic accounts for 14% of Liberia’s waste.
"TikTok video showing Haaland apologising to Arteta, manipulated",https://dubawa.org/tiktok-video-showing-haaland-apologising-to-arteta-manipulated/,"Claim: A TikTok user claims Haaland apologised to Arteta following a Premier League clash on Feb. 2, 2025, for a previous derogatory utterance.","Verdict: False. Careful analysis shows that the TikTok video clip is a digitally edited version of a Sky Sports post-match interview with Haaland, in which he responded to questions surrounding the football tactics adopted in City’s clash with Chelsea in January. "
"Guardiola’s dressing room outburst linked to documentary, not a recent match",https://dubawa.org/guardiolas-dressing-room-outburst-linked-to-documentary-not-a-recent-match/,Claim: A TikTok user shared a video clip showing Guardiola allegedly ranting at City’s dressing room after a woeful loss to Arsenal.,"Verdict: Misleading. DUBAWA’s findings reveal that the TikTok video clip was sourced from a documentary teaser City shared on its X handle in November 2024. The yet-to-be-released documentary shows a visibly outraged Guardiola fuming at City’s squad to take responsibility, which is how they won four Premier League titles in a row."
"Alleged Real Madrid Arsenal clash, other fixures on Valentine’s Day, false",https://dubawa.org/alleged-real-madrid-arsenal-clash-other-fixures-on-valentines-day-false/,"Claim: TikTok user claims European clubs- Real Madrid and Arsenal, Barcelona and Liverpool, Man U, and Chelsea would clash on Feb. 14, 2025.","Verdict: False. None of the European international leagues’ fixtures show that the clubs the claimant mentioned would have playoffs on Feb. 14, 2025. "
Mike Bamiloye used AI-generated image of Elon Musk to push End-of-Days narratives,https://dubawa.org/mike-bamiloye-used-ai-generated-image-of-elon-musk-to-push-end-of-days-narratives/,"Claim: Popular Nigerian gospel actor Mike Bamiloye shared photos of a robot with the face of Tesla Inc.’s chief executive officer, Elon Musk. He claimed that the development heralds the arrival of the Beast, a mythical figure in the Bible.","Verdict: FALSE. The pictures were generated using artificial intelligence (AI) tools. Also, existing robots associated with Mr Musk are called Optimus, a faceless general-purpose humanoid robot that bears no resemblance to him."
Did Liberians in U.S. remit more than National Budget by 2023?,https://dubawa.org/did-liberians-in-u-s-remit-more-than-national-budget-by-2023/,"Claim:  According to embattled House Speaker Fonati Koffa, Liberians in the U.S. remitted approximately $800 million in 2023, an amount higher than the national budget.","Verdict: False! Liberians ‘ remittances from the U.S. in 2023 did not exceed the national budget. The national budget signed into law by President Joseph Boakai is $880.66 million, a figure greater than the claimed $800 million. Additionally, Koffa’s claim conflicts with official data from the World Bank and the Central Bank of Liberia (CBL)."
Misleading! Panama has not agreed to stop charging U.S. vessels using Panama Canal,https://dubawa.org/misleading-panama-has-not-agreed-to-stop-charging-u-s-vessels-using-panama-canal/,Claim: The U.S. Department of State has alleged that the government of Panama has agreed to no longer charge fees for U.S. government vessels to transit at the Panama Canal.,Verdict: Misleading! Investigations by DUBAWA have revealed that the government of Panama has not changed its fees for U.S. vessels transiting the Panama Canal. The Panama Canal Authority emphasised in a press release on its website that “it has made no adjustments to these fees.”
Sierra Leone’s Electoral Commission disclaims fake recruitment notice,https://dubawa.org/sierra-leones-electoral-commission-disclaims-fake-recruitment-notice/,"Claim: An EC-SL link circulating on social media, particularly WhatsApp, claims that the Electoral Commission Sierra Leone (ECSL) has opened an application portal to recruit new workers for different positions. ","Verdict: According to Albert Massaquoi, External Relations Officer at Electoral Commission Sierra Leone (ECSL), the link is false, and ECSL has not opened any recruitment applications.  "
Misleading! Liberia did not pay $9m annually for power supply,https://dubawa.org/misleading-liberia-did-not-pay-9m-annually-for-power-supply/,"Claim: “Every year, we give the Ivorian government $9m to supply us power,” Byron Byron writes on his official Facebook page.","Verdict: This claim is misleading! Research on national budgets contradicts it. Government allocations for CLSG from 2022 to 2024 are significantly lower. Furthermore, Byron failed to provide evidence to support his claim of an annual payment of $9 million."
"Facebook claim Trump orders sale of African leaders’ properties, children’s deportation, false",https://dubawa.org/facebook-claim-trump-orders-sale-of-african-leaders-properties-childrens-deportation-false/,Claim: A Facebook post claims that President Donald Trump of the United States of America has ordered the sale of assets of African politicians in the United States.,Verdict: False. There are no news reports on this claim. We also found no related content on the White House’s official website or President Trump’s X account. 
False! Serena Williams is not dead,https://dubawa.org/false-serena-williams-is-not-dead/,Claim: A Facebook page claims that Tennis star Serena Williams died in a car accident.,Verdict: False. DUBAWA’s search on her social media handles reveals that she’s alive.
Does clove soaked in hot water treat female infertility?,https://dubawa.org/does-clove-soaked-in-hot-water-treat-female-infertility/,Claim: Several Facebook posts claimed that cloves soaked in hot water could put an end to female infertility and other hormonal issues.,Verdict: False! Findings from research reports and medical experts showed no scientific evidence to support the claim.
"Image of Peter Obi’s barrack gate, manipulated",https://dubawa.org/image-of-peter-obis-barrack-gate-manipulated/,Claim: X user shared a picture of a barrack named after Peter Obi in Abuja. ,Verdict: FALSE! We found that the image was manipulated. The original name on the gate is Bola Ahmed Tinubu Barracks. 
Statistics Sierra Leone disclaims fake recruitment notice,https://dubawa.org/statistics-sierra-leone-disclaims-fake-recruitment-notice/,"Claim: A Statistics link circulating on social media, particularly WhatsApp, claims that Statistics Sierra Leone (Stats SL) is recruiting qualified personnel for various positions to support data collection, enumeration, and statistical analysis.  ","Verdict: According to Samuel Ansumana, Director of Communication and Public Relations at Stats SL, the link is false. It didn’t originate from the institution.  "
"Round-Up: claims on Grammy, Trump, others dominate this week",https://dubawa.org/round-up-claims-on-grammy-trump-others-dominate-this-week/,February 2025 began with interesting events and a handful of misleading information to sway people’s access to accurate information. ,Here are some of the top claims DUBAWA verified this week.
Is English no longer language of instruction in Northern schools?,https://dubawa.org/is-english-no-longer-language-of-instruction-in-northern-schools/,Claim: A verified Facebook user posted a narrative that northern governors have rejected English as the language of instruction in schools in Northern Nigeria.,"Verdict: False. Although one of the Northern governors urged the consideration of Hausa as a medium of instruction in schools, it only represents his opinion and not a declaration.  "
Old footage misconstrued as recent ritual killing hideout in Ibadan,https://dubawa.org/old-footage-misconstrued-as-recent-ritual-killing-hideout-in-ibadan/,"Claim: A Facebook user shared a clip alleging that a recent kidnapping hideout was discovered in Ibadan, Oyo State, where dismembered human body parts were found.",Verdict: Misleading! The video is from 2014 and is being recirculated as a recent event.
"Did FBI find cash, gold worth billions of dollars in Buhari’s New York residence?",https://dubawa.org/did-fbi-find-cash-gold-worth-billions-of-dollars-in-buharis-new-york-residence/,"Claim: Social media users here, here, and here alleged that the Federal Bureau of Investigation (FBI) discovered $5 billion in cash and $700 million in gold at former Nigerian President Muhammadu Buhari’s New York residence. They also claim that U.S. President Donald Trump ordered a crackdown on Nigerian politicians.",Verdict: False. We have found no evidence to support these claims either in the news.
Nigeria’s withdrawal from US Stock Market is false!,https://dubawa.org/nigerias-withdrawal-from-us-stock-market-is-false/,Claim: Machie Johnbosce on Facebook asserts that President Tinubu has pulled Nigeria from United States stocks and blocked the sale of oil to the United States. ,"Verdict: False! No credible media organisation reported the issue. Moreover, Nigeria is not listed on the US stock market. "
Did Trump sign executive order banning visas for Nigerians?,https://dubawa.org/did-trump-sign-executive-order-banning-visas-for-nigerians/,"Claim: Social media users claimed that the United States President, Donald Trump, has signed an executive order to stop granting visas to Nigerians seeking to enter the country.","Verdict: False! While the United States president has asked immigration officers to tighten visa vetting procedures, he has not explicitly called for a visa ban on Nigerian citizens."
President Boakai did not reinstate suspended NEC Boss,https://dubawa.org/president-boakai-did-not-reinstate-suspended-nec-boss/,Claim: President Boakai reinstated NEC Boss Davidetta Brown Lansanah after a high-profile meeting with top Unity Party executive members.,"Verdict: Misleading. DUBAWA checks show President Boakai did not reinstate the suspended National Elections Commission Boss, Davidetta Brown Lansanah."
"Ṣe itọ ni won fi n se ìtọ́jú ojú pipọn, conjunctivitis?",https://dubawa.org/%e1%b9%a3e-ito-ni-won-fi-n-se-itoju-oju-pipon-conjunctivitis/,Aheso: Olumulo ikanni ibaraenisore sọ wípé ènìyàn lè fi ìtọ àárọ̀ kùtùkùtù ṣe ìtọ́jú aarun conjunctivitis.,Abajade iwadii: Irọ nla! Àkọsílẹ̀ àti ifọrọwanilẹnuwo pelu àwọn onímọ̀ fihan pé itọ ò le ṣe nkankan nínu itọju ojú pipọn.
"X user’s claim Tems is from Ghana, false!",https://dubawa.org/x-users-claim-tems-is-from-ghana-false/,Claim: X user @Benopaonyx1 asserts that popular singer Tems is from Ghana. ,"Verdict: False! According to credible media outlets and her interviews, Temilade Openiyi, known as Tems, is from Nigeria. "
"Video showing man driving vehicle without steering wheel, not in Nigeria",https://dubawa.org/video-showing-man-driving-vehicle-without-steering-wheel-not-in-nigeria/,"Claim: An X user claims a vehicle without a complete steering wheel plying the road is linked to Nigeria’s popular commercial city, Lagos.","Verdict: Misleading! DUBAWA’s findings show that the amusing scene is linked to South Africa, not Lagos, as the X user claimed. "
"TikTok video showing Haaland’s regret on Man City’s extension deal, digitally altered",https://dubawa.org/tiktok-video-showing-haalands-regret-on-man-citys-extension-deal-digitally-altered/,"Claim: A TikTok user claims Man City’s forward, Haaland, regrets signing a new extension deal with the club.",Verdict: False. Findings show that the TikTok video clip has been digitally manipulated. Details from the original video published by Sky Sports inform of Haaland’s confidence in Man City’s response to its alleged breaches of Premier League financial rules.
"Claim Davido wins 67th Grammy, false",https://dubawa.org/claim-davido-wins-67th-grammy-false/,Claim: Facebook users claim Davido was among the 67th Annual Grammy Awards winners.,"Verdict: False. The claim that Davido has won the 67th annual Grammy Awards is false. Contrary to social media posts, the singer’s X post, further reported by National newspapers, showed he didn’t win."
Round-Up: Top four claims we verified this week,https://dubawa.org/round-up-top-four-claims-we-verified-this-week/,"As January 2025 winds up, here are some of the claims DUBAWA verified in the last few days of January.","On Tuesday, Jan. 28, 2025, Donald Trump stopped the disbursement of funds through PEPFAR for at least 90 days. "
Cyberbullying: Facebook user attacks another with false ‘RIP’ claim,https://dubawa.org/cyberbullying-facebook-user-attacks-another-with-false-rip-claim/,Claim: A Facebook user alleged that a lady has been used for ritual killing by her “Yahoo boyfriend.”,"Verdict: False! DUBAWA spoke to the lady in question and confirmed that she was alive. We also asked the claimant to provide evidence for his claim, but he failed."
"False! No consistent decline in prices of rice, petroleum in Boakai’s administration",https://dubawa.org/false-no-consistent-decline-in-prices-of-rice-petroleum-in-boakais-administration/,Claim: Liberian President Joseph Boakai alleges that the price of rice and petroleum products has consistently declined within the first two months of his administration.,"Verdict: False! Checks by DUBAWA indicate that the price of 25kg parboiled rice was not reduced within the first two months of the Boakai administration, and there has never been a consistent decline in the price of rice."
"Viral video alleging Kenya pulled out of WHO, misleading",https://dubawa.org/viral-video-alleging-kenya-pulled-out-of-who-misleading/,Claim: Social media users share a video claiming Kenya has withdrawn from the WHO.,"Verdict: False! The video used to push the narrative on social media was taken from another context, and no credible media organisation reported Kenya’s purported withdrawal from the WHO."
Are Yoruba Muslims forbidden to lead prayers in Northern Nigeria?,https://dubawa.org/are-yoruba-muslims-forbidden-to-lead-prayers-in-northern-nigeria/,Claim: An X user claimed Yoruba Muslims are forbidden to lead prayers in Northern Nigeria. ,"Verdict: False. Quran injunctions state that a person who should lead a group of Muslims in prayer has to be the best and most knowledgeable among them. Furthermore, Islamic scholars have also countered the X claim, explaining that the criteria for leading prayers are not dependent on a person’s ethnicity or tribe."
"Facebook user’ claim Peter Obi received invitation to Trump’s inauguration, false",https://dubawa.org/facebook-user-claim-peter-obi-received-invitation-to-trumps-inauguration-false/,Claim: A Facebook user claimed that Peter Obi had been invited to Donald Trump’s inauguration ceremony.,"Verdict: False! Neither Peter Obi nor any African leader was invited to or attended the swearing-in ceremony in the US. Reports reveal that the world leaders invited were from Italy, China, and Argentina."
"Njẹ́ Nàìjíríà ni orílẹ̀-èdè kejì lágbàáyé tó ní iye ènìyàn tó pọ̀ jùlọ, tí ń gbé pẹ̀lú HIV",https://dubawa.org/nje-naijiria-ni-orile-ede-keji-lagbaaye-to-ni-iye-eniyan-to-po-julo-ti-n-gbe-pelu-hiv/,"Àhesọ: Nàìjíríà jẹ́ orílẹ̀-èdè kejì tó ní iye ènìyàn tó pọ̀ jùlọ, tí ń gbé pẹ̀lú HIV.",Àbájáde Ìwádìí: Ìṣìnà. Ìjábọ̀ ọdún 2018 láti ọwọ́ UNICEF tí ó dá lórí àkójọfáyẹ̀wò ọdún 2015 ní eni náa tọ́ka sí. Èyí kì í ṣe aṣojú tí ó dára jùlọ fún ipò HIV lọ́wọ́lọ́wọ́ ní Nàìjíríà.
No evidence Nnamdi Kanu escapes DSS detention,https://dubawa.org/no-evidence-nnamdi-kanu-escapes-dss-detention/,Claim: A Facebook post claims Biafra leader Nnamdi Kanu has escaped the DSS detention centre.,"Verdict: Insufficient Evidence! There are no recent reports on Nnamdi Kanu’s escape from the DSS detention centre, and efforts to reach the DSS were futile."
Does Nigeria have the second-highest people living with HIV?,https://dubawa.org/does-nigeria-have-the-second-highest-people-living-with-hiv/,Claim: Nigeria has the second-highest number of people living with HIV.,"Verdict: Misleading. The report referenced by the claimant is from a 2018 report by UNICEF based on 2015 data, which is not the best representation of the current state of HIV in Nigeria. The report also speaks to the burden of HIV, not the number of people living with HIV, as asserted by the claimant. The most recent data showed that in Africa, Nigeria has the third-highest number of people living with HIV, with the figure at 1.7 million as of 2023."
Video showing people scampering for food unrelated to Nigeria,https://dubawa.org/video-showing-people-scampering-for-food-unrelated-to-nigeria/,Claim: An Instagram user posted a now-deleted video allegedly showing Nigerians scampering around for food off a pickup vehicle.,"Verdict: Misleading! The video in question is unconnected to Nigeria.  Our investigation shows that the footage was filmed in  Côte d’Ivoire, and the people in the video speak French. "
"Misleading! 16, not 200 children rescued in Port Harcourt",https://dubawa.org/misleading-16-not-200-children-rescued-in-port-harcourt/,"Claim: A Facebook user claims that over 200 missing children were found in a compound located in the Ozuoba area of Port Harcourt, Rivers State.  ","Verdict: Misleading. The claim originated from a Sept. 2024 incident where the Rivers State Police rescued 16 children, rather than 200 from a compound in Port Harcourt. This means the video is not from Jan. 2025, as claimed."
Misleading! Liberia has not gotten MCC Compact 2,https://dubawa.org/misleading-liberia-has-not-gotten-mcc-compact-2/,Claim: Liberia’s information minister claimed the country has “gotten MCC compact two.”,Verdict: Misleading. The spokesperson of the U.S. embassy in Monrovia has dispelled the minister’s statement.
Misleading! Senate Protem Lawrence’s vehicle doesn’t cost $100k,https://dubawa.org/misleading-senate-protem-lawrences-vehicle-doesnt-cost-100k/,"Claim: Togar Alexander Bealded, a controversial Liberian social media user, alleged on Facebook that the Pro tempore of the Liberian Senate Nyonblee Karnga-Lwarence has imported a 2025 Hyundai Staria at over $100k.  ","Verdict: Misleading! DUBAWA’s investigation shows that while it is true that she bought the said vehicle, findings from Africa Motors reveal that it cost USD$45K before duty and USD$51K with Duty paid.   "
Is Liberia’s current exchange rate lower than it was in January 2024?,https://dubawa.org/is-liberias-current-exchange-rate-lower-than-it-was-in-january-2024/,Claim: Liberia’s Presidential Press Secretary asserted that the exchange rate is lower than what was inherited.,Verdict: Misleading. The Central Bank of Liberia Daily Exchange Rates show that the current exchange rate is higher than in January 2024.
